Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER2,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
C1,C0805,1,CL21A226MAQNNNE,C45783
"C38, C39, C40, C44, C46, C47, C48, C50, C53, C54, C56, C57, C59, C60, C61, C62, C64, C66, C67, C68, C69, C70, C71, C77, C79, C80, C81, C82, C9",0603,29,100nF,
"C41, C52, C58, C65, C73, C78, C83",0603,7,1uF,
"C42, C45, C63, C71CERAMIC1",0805,4,10uF,
C43,0805,1,22uF,
C49,0603,1,100uF,
C51,0603,1,4.7uF,
"C55, C72, C76",0603,3,10uF,
"J1, J2",PinHeader_1x02_P1.00mm_Vertical,2,Conn_01x02_Socket,
L1,L0805,1,MPZ2012S601AT000,C21519
L5,1210,1,2.2uH,
"LED1, LED2, LED3, LED4, STATUS1",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,5,SK6812MINI-E_C5149201,C5149201
Q7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
"R10, R19, R9",0603,3,470,
"R17, R18, R29, R30, R31, R32, R33, R34, R41, R43, R8",0603,11,10k,
"R25, R26",0603,2,220k,
R27,0603,1,100,
"R28, R37, R44",0603,3,100k,
"R35, R39",0603,2,47k,
R36,0603,1,820k,
"R38, R40, R45, R46",0603,4,4.7k,
R42,0603,1,10,
SW2,SW-SMD_MSK12CO2,1,MINI MSK12CO2,C2681570
SW3,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,SKRPACE010,C139797
TP26,TestPoint_Pad_1.0x1.0mm,1,STM32_SWCLK,
TP27,TestPoint_Pad_1.0x1.0mm,1,STM32_SWDIO,
TP28,TestPoint_Pad_1.0x1.0mm,1,STM32_TRACESWO,
TP29,TestPoint_Pad_1.0x1.0mm,1,STM32_NRST,
"TP34, TP35",TestPoint_Pad_1.0x1.0mm,2,ESP32_EN,
"TP36, TP37",TestPoint_Pad_1.0x1.0mm,2,ESP32_BOOT,
"TP38, TP39",TestPoint_Pad_1.0x1.0mm,2,ESP32_RX,
"TP40, TP43",TestPoint_Pad_1.0x1.0mm,2,ESP32_TX,
"TP44, TP45",TestPoint_Pad_1.0x1.0mm,2,LED_ARRAY,
"TP46, TP47",TestPoint_Pad_1.0x1.0mm,2,BUZZ,
TP50,TestPoint_Pad_1.0x1.0mm,1,ServoPWM,
"TP51, TP60, TP64, TP67",TestPoint_Pad_1.0x1.0mm,4,5V,
"TP52, TP53",TestPoint_Pad_1.0x1.0mm,2,5V SIG,
TP54,TestPoint_Pad_1.0x1.0mm,1,DOUT1,
TP55,TestPoint_Pad_1.0x1.0mm,1,DIN1,
"TP56, TP62, TP66, TP69",TestPoint_Pad_1.0x1.0mm,4,GND,
TP58,TestPoint_Pad_1.0x1.0mm,1,5V OUTPUT,
TP59,TestPoint_Pad_1.0x1.0mm,1,GND OUTPUT,
TP61,TestPoint_Pad_1.0x1.0mm,1,DOUT2,
TP63,TestPoint_Pad_1.0x1.0mm,1,DOUT3,
TP65,TestPoint_Pad_1.0x1.0mm,1,DIN2,
TP68,TestPoint_Pad_1.0x1.0mm,1,DIN3,
"TP71, TP72",TestPoint_Pad_1.0x1.0mm,2,3.3V INPUT,
TP73,TestPoint_Pad_1.0x1.0mm,1,ServoVCC,
TP74,TestPoint_Pad_1.0x1.0mm,1,ServoGND,
"TP76, TP77",TestPoint_Pad_1.0x1.0mm,2,STATUS,
"TP79, TP80",TestPoint_Pad_1.0x1.0mm,2,GND INPUT,
TP87,TestPoint_Pad_1.0x1.0mm,1,MotorA,
TP88,TestPoint_Pad_1.0x1.0mm,1,MotorB,
TP89,TestPoint_Pad_1.0x1.0mm,1,MotorC,
U1,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSRTR,C784817
U11,WIRELM-SMD_BU03,1,BU03,C42419011
U12,SOT-23-5,1,AP2112K-3.3,
U2,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32G473RCT6,C529361
U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC1T45DBVR,C7843
U5,LGA-10_L2.0-W2.0-P0.50-TL_BMP581,1,BMP581,C5362283
U6,WIFIM-SMD_61P-L13.2-W12.5-P0.80,1,ESP32-C3-MINI-1U-N4,C2911374
U7,QFN-24_L3.0-W3.0-P0.40-TL-EP1.9_TI_RRW0024A,1,DRV8311HRRWR,C5218862
"U8, U9",FLIPCHIP-4_L0.8-W0.8-R2-C2-P0.40-TL,2,MMC5603NJ,C404328
