Designator,Mid X,Mid Y,Rotation,Layer
BUZZER2,25.5,-55.25,270.0,top
C1,12.64,-18.77,270.0,bottom
C38,27.25,-25.5,270.0,top
C39,24.67,-27.25,0.0,top
C40,20.088481,-21.387853,90.0,top
C41,21.67,-23.0,90.0,top
C42,23.75,-8.25,180.0,bottom
C43,21.600839,-6.898786,0.0,top
C44,24.225,-18.0,180.0,bottom
C45,24.5,-16.25,0.0,bottom
C46,39.084834,-45.710051,90.0,top
C47,50.584834,-45.685051,90.0,top
C48,62.084834,-45.685051,90.0,top
C49,22.25,-6.5,0.0,bottom
C50,21.678465,-13.774659,225.0,top
C51,23.048008,-14.701992,225.0,top
C52,18.075,-57.75,180.0,top
C53,11.833437,-21.947539,45.0,top
C54,5.02155,-13.736211,90.0,top
C55,9.075,-57.75,180.0,top
C56,18.399843,-6.437575,180.0,top
C57,8.0,-20.75,270.0,top
C58,9.5,-21.5,90.0,top
C59,8.25,-7.75,45.0,top
C60,8.0,-5.75,45.0,top
C61,11.5,-13.0,0.0,bottom
C62,25.80742,-38.975,90.0,top
C63,26.30742,-41.475,180.0,top
C64,27.30742,-38.975,90.0,top
C65,17.0,-15.8625,90.0,bottom
C66,25.5,-23.75,90.0,bottom
C67,20.18016,-19.10123,90.0,bottom
C68,18.544816,-21.39445,270.0,top
C69,8.184999,-12.0,0.0,bottom
C70,8.190223,-13.495697,180.0,bottom
C71,13.5,-24.2935,0.0,bottom
C71CERAMIC1,14.64,-18.52,90.0,bottom
C72,11.725,-16.0,180.0,bottom
C73,14.25,-13.75,90.0,bottom
C76,8.975001,-47.787499,0.0,bottom
C77,10.25,-25.0,180.0,top
C78,8.0,-25.025,270.0,top
C79,8.950001,-53.037499,0.0,bottom
C80,8.974999,-51.287501,0.0,bottom
C81,8.975,-49.5375,0.0,bottom
C82,21.100002,-40.100002,0.0,top
C83,21.100005,-41.600001,180.0,top
C9,22.5,-10.5,90.0,top
J1,4.947592,-22.757869,270.0,top
J2,4.991417,-24.182182,90.0,top
L1,9.75,-44.0375,90.0,bottom
L5,24.600001,-11.5,0.0,bottom
LED1,35.334834,-45.460051,90.0,top
LED2,46.834835,-45.710051,90.0,top
LED3,58.334834,-45.71005,90.0,top
LED4,69.834834,-45.460051,90.0,top
Q7,9.1225,-17.499999,180.0,bottom
R10,13.0,-37.75,180.0,top
R17,8.25,-21.75,90.0,bottom
R18,15.075,-57.75,180.0,top
R19,22.0,-16.75,270.0,bottom
R25,10.473554,-21.0,0.0,bottom
R26,10.473554,-22.5,0.0,bottom
R27,21.075,-53.0,0.0,top
R28,6.25,-17.0,90.0,bottom
R29,21.92,-26.5,90.0,top
R30,17.0,-27.0,0.0,top
R31,25.67,-22.25,180.0,top
R32,12.075,-57.75,180.0,top
R33,17.5,-45.75,270.0,top
R34,13.715,-10.38,0.0,bottom
R35,14.25,-8.88,0.0,bottom
R36,24.5,-5.75,90.0,bottom
R37,27.25,-4.5,180.0,bottom
R38,12.75,-27.75,180.0,top
R39,14.25,-7.38,0.0,bottom
R40,13.250466,-23.7835,180.0,top
R41,27.5,-47.2875,270.0,bottom
R42,6.5,-20.75,270.0,top
R43,12.0,-14.5,0.0,bottom
R44,27.5,-55.7875,90.0,bottom
R45,16.75,-39.5,180.0,top
R46,16.75,-41.0,180.0,top
R8,24.0,-11.5,270.0,top
R9,24.675,-14.25,0.0,bottom
STATUS1,22.004829,-36.083045,0.0,top
SW2,7.971081,-26.214738,0.0,bottom
SW3,26.5,-11.0,90.0,top
TP26,23.261412,-4.5,0.0,top
TP27,25.261412,-4.5,0.0,top
TP28,21.261412,-4.5,0.0,top
TP29,11.0,-4.5,0.0,top
TP34,4.5,-35.5,270.0,bottom
TP35,4.5,-4.499999,270.0,top
TP36,4.5,-37.5,270.0,bottom
TP37,4.5,-6.5,270.0,top
TP38,4.5,-39.5,270.0,bottom
TP39,4.5,-8.500001,270.0,top
TP40,4.5,-41.5,270.0,bottom
TP43,4.5,-10.5,270.0,top
TP44,27.5,-20.75,270.0,bottom
TP45,4.5,-16.999999,270.0,top
TP46,6.5,-58.0,90.0,bottom
TP47,4.5,-19.0,270.0,top
TP50,18.561412,-4.5,180.0,bottom
TP51,31.834834,-42.932303,0.0,top
TP52,27.5,-14.75,0.0,bottom
TP53,31.834834,-48.460051,0.0,top
TP54,38.834834,-42.932303,0.0,top
TP55,43.334834,-48.460051,0.0,top
TP56,38.834834,-48.460051,0.0,top
TP58,27.5,-18.75,180.0,bottom
TP59,27.5,-16.75,180.0,bottom
TP60,43.334834,-42.960051,0.0,top
TP61,50.334834,-42.960051,0.0,top
TP62,50.334834,-48.460051,0.0,top
TP63,61.834834,-42.960051,0.0,top
TP64,54.834834,-42.960051,0.0,top
TP65,54.834834,-48.460051,0.0,top
TP66,61.834834,-48.460051,0.0,top
TP67,66.334834,-42.960051,0.0,top
TP68,66.334834,-48.460051,0.0,top
TP69,73.334834,-48.460051,0.0,top
TP71,17.0,-4.5,0.0,top
TP72,17.0,-35.25,0.0,bottom
TP73,20.561411,-4.5,270.0,bottom
TP74,22.561412,-4.5,270.0,bottom
TP76,13.0,-35.25,180.0,bottom
TP77,13.0,-4.5,0.0,top
TP79,15.0,-35.25,0.0,bottom
TP80,15.0,-4.5,90.0,top
TP87,4.5,-9.75,0.0,bottom
TP88,4.5,-7.75,0.0,bottom
TP89,4.5,-5.75,0.0,bottom
U1,24.42,-24.75,180.0,top
U11,18.75,-51.33,180.0,bottom
U12,17.5,-12.25,0.0,bottom
U2,12.992929,-13.75,135.0,top
U3,26.85,-6.25,90.0,bottom
U4,22.99662,-20.7,180.0,bottom
U5,18.89,-24.83,270.0,top
U6,10.72,-50.01,90.0,top
U7,10.29,-8.88,180.0,bottom
U8,12.55,-25.75,0.0,top
U9,18.8,-40.3,180.0,top
